model,fold,split,mae,rmse,r2
dummy,1,cv_valid,99.95769024104412,123.3705365355816,-0.22013756117069527
dummy,2,cv_valid,92.04128084678571,115.37211429367423,-5.2713923640146376e-05
dummy,3,cv_valid,131.87645701622816,155.94485025010596,-0.031222540114494768
dummy,4,cv_valid,122.091692531418,158.1095611200426,-0.07652092161875723
dummy,5,cv_valid,125.01391006460157,167.43327468312148,-0.009272300100014563
ridge,1,cv_valid,15.702136700263651,20.10585420472726,0.9675935880943785
ridge,2,cv_valid,15.955473968016685,20.10066475448945,0.9696441757062669
ridge,3,cv_valid,15.101333031396118,20.094302295244212,0.9828779332967403
ridge,4,cv_valid,16.2073592155779,18.906703521535636,0.9846064836870327
ridge,5,cv_valid,11.667482004251378,13.836723874235282,0.9931072685221851
decision_tree,1,cv_valid,78.6892143726645,97.10482636556827,0.24409447108285454
decision_tree,2,cv_valid,82.02138806615386,99.80463776100004,0.2516192031349074
decision_tree,3,cv_valid,110.23221217606924,141.1643347934434,0.1549930252019165
decision_tree,4,cv_valid,94.47424932120437,119.89785593377813,0.38094527598104666
decision_tree,5,cv_valid,97.4873328356192,125.49829841119733,0.43297724703162976
random_forest,1,cv_valid,73.67795160192884,99.04790341940188,0.21354031664778272
random_forest,2,cv_valid,49.99846272959716,69.64069065157227,0.6356260431745162
random_forest,3,cv_valid,67.28924792248561,86.59963447558464,0.6819887824226918
random_forest,4,cv_valid,72.47100820521585,94.7413997659485,0.6134676900385252
random_forest,5,cv_valid,79.37614510735506,107.6898676805742,0.5824826781570404
gradient_boosting,1,cv_valid,53.102490700066774,67.74422150159307,0.6320994792574267
gradient_boosting,2,cv_valid,42.478095068602165,56.45162607686917,0.7605724607037171
gradient_boosting,3,cv_valid,65.39854125757806,77.5689670938224,0.7448554249821658
gradient_boosting,4,cv_valid,61.61194976651422,84.48220379869358,0.6926475517765865
gradient_boosting,5,cv_valid,68.71233835132311,89.39335112523082,0.7123030566593869
